year,wind_persist,ice_persist,sector,phase_doy,amplitude,phase_anom,amplitude_anom
2014,3.1666666666666665,13.6,King_Haakon,271,4.658722818649471,-1.4782608695651902,0.65372351340738
2015,2.8823529411764706,25.941176470588236,King_Haakon,271,3.9378504282904925,-1.4782608695651902,-0.06714887695159844
2016,3.7142857142857144,NA,King_Haakon,272,4.467079121672646,-0.4782608695651902,0.4620798164305553
2017,2,5,King_Haakon,271,4.414348326055916,-1.4782608695651902,0.40934902081382507
2018,3.8461538461538463,25.58823529411765,King_Haakon,271,4.366248887869362,-1.4782608695651902,0.3612495826272708
2019,4.548387096774194,NA,King_Haakon,271,3.9527602787248988,-1.4782608695651902,-0.052239026517192144
2020,3.0869565217391304,5.833333333333333,King_Haakon,272,4.160752520721579,-0.4782608695651902,0.15575321547948828
2021,5.933333333333334,8.529411764705882,King_Haakon,271,4.476839531728834,-1.4782608695651902,0.4718402264867434
2022,2.5384615384615383,30.813953488372093,King_Haakon,271,5.070983959272094,-1.4782608695651902,1.0659846540300029
2023,3.8181818181818183,25.192307692307693,King_Haakon,271,3.866574818497443,-1.4782608695651902,-0.1384244867446478
2024,3.4615384615384617,NA,King_Haakon,NA,NA,NA,NA
1979,1.4615384615384615,1,Ross,276,5.582911301977795,-2.347826086956502,0.2110987690341073
1980,1.5,6,Ross,277,5.494922536666751,-1.347826086956502,0.12311000372306324
1981,2.625,6.6,Ross,277,5.409484544063071,-1.347826086956502,0.03767201111938334
1982,2.125,1,Ross,276,5.071879517043798,-2.347826086956502,-0.29993301589988963
1983,1,7.222222222222222,Ross,277,5.235359084920076,-1.347826086956502,-0.13645344802361148
1984,1.875,9.181818181818182,Ross,278,5.155216997087408,-0.34782608695650197,-0.21659553585627922
1985,1.6,2.142857142857143,Ross,276,5.508786572306242,-2.347826086956502,0.13697403936255448
1986,2.7142857142857144,1.5,Ross,277,4.713456687782906,-1.347826086956502,-0.6583558451607816
1987,2.6666666666666665,59,Ross,255,5.229601973889568,-23.347826086956502,-0.14221055905411983
1988,1.8888888888888888,2.5,Ross,281,5.705593232929482,2.652173913043498,0.3337806999857946
1989,1.7058823529411764,8,Ross,277,5.8831006323491195,-1.347826086956502,0.5112880994054319
1990,2.3333333333333335,NA,Ross,277,4.841785082992536,-1.347826086956502,-0.5300274499511515
1991,2.391304347826087,50.638888888888886,Ross,277,5.444697300501774,-1.347826086956502,0.0728847675580866
1992,2.696969696969697,74.02631578947368,Ross,278,6.16367232213954,-0.34782608695650197,0.7918597891958523
1993,1.8,21.896551724137932,Ross,277,5.382776224591074,-1.347826086956502,0.010963691647386753
1994,1.7777777777777777,2,Ross,277,5.397034561439764,-1.347826086956502,0.02522202849607602
1995,4.615384615384615,11,Ross,277,5.435534323818299,-1.347826086956502,0.06372179087461127
1996,1.4,19.866666666666667,Ross,278,4.8200042204258,-0.34782608695650197,-0.5518083125178874
1997,2.5294117647058822,NA,Ross,277,5.091160017794602,-1.347826086956502,-0.28065251514908596
1998,1.75,6,Ross,277,5.408098715898098,-1.347826086956502,0.03628618295441033
1999,2.28,7.8,Ross,277,5.22393427226533,-1.347826086956502,-0.14787826067835752
2000,2.5555555555555554,7,Ross,278,5.41950803290288,-0.34782608695650197,0.04769549995919231
2001,3.2,5.5,Ross,277,5.293350228371901,-1.347826086956502,-0.07846230457178649
2002,1.7272727272727273,12.851851851851851,Ross,277,5.375222057944168,-1.347826086956502,0.0034095250004799738
2003,1.5,3.2222222222222223,Ross,277,5.966938016461607,-1.347826086956502,0.5951254835179194
